actor_word,active_response_word,count,p_active_response_given_actor_word
IW00,IW08,55,0.26570048309178745
IW09,IW08,26,0.26262626262626265
IW07,IW08,84,0.25688073394495414
IW04,IW08,51,0.24878048780487805
IW02,IW08,71,0.23666666666666666
IW06,IW08,103,0.22538293216630198
IW07,IW06,69,0.21100917431192662
IW05,IW08,26,0.2
IW10,IW06,41,0.18552036199095023
IW03,IW08,16,0.1839080459770115
IW08,IW08,66,0.1793478260869565
IW01,IW08,567,0.17489204194941393
IW10,IW08,38,0.17194570135746606
IW11,IW08,71,0.16904761904761906
IW08,IW06,62,0.16847826086956522
IW01,IW06,525,0.16193707587908698
IW06,IW06,74,0.16192560175054704
IW05,IW07,21,0.16153846153846155
IW11,IW06,66,0.15714285714285714
IW00,IW10,32,0.15458937198067632
IW02,IW06,46,0.15333333333333332
IW03,IW05,13,0.14942528735632185
IW03,IW06,13,0.14942528735632185
IW09,IW05,14,0.1414141414141414
IW02,IW07,42,0.14
IW01,IW07,427,0.13170882171499074
IW04,IW06,27,0.13170731707317074
IW09,IW10,13,0.13131313131313133
IW05,IW02,17,0.13076923076923078
IW10,IW00,28,0.12669683257918551
IW10,IW07,28,0.12669683257918551
IW06,IW07,56,0.12253829321663019
IW08,IW07,45,0.12228260869565218
IW11,IW04,51,0.12142857142857143
IW09,IW06,12,0.12121212121212122
IW06,IW10,55,0.12035010940919037
IW07,IW07,39,0.11926605504587157
IW11,IW07,50,0.11904761904761904
IW04,IW07,24,0.11707317073170732
IW11,IW10,49,0.11666666666666667
IW01,IW02,376,0.11597779148673658
IW00,IW06,24,0.11594202898550725
IW05,IW00,15,0.11538461538461539
IW03,IW04,10,0.11494252873563218
IW03,IW10,10,0.11494252873563218
IW02,IW04,34,0.11333333333333333
IW01,IW10,364,0.11227637260950031
IW11,IW02,47,0.11190476190476191
IW09,IW07,11,0.1111111111111111
IW10,IW02,24,0.1085972850678733
IW08,IW00,39,0.10597826086956522
IW02,IW02,31,0.10333333333333333
IW06,IW02,47,0.10284463894967177
IW04,IW04,21,0.1024390243902439
IW04,IW10,21,0.1024390243902439
IW08,IW02,37,0.10054347826086957
IW08,IW04,37,0.10054347826086957
IW05,IW06,13,0.1
IW01,IW00,322,0.09932140653917335
IW08,IW10,36,0.09782608695652174
IW02,IW10,28,0.09333333333333334
IW05,IW04,12,0.09230769230769231
IW05,IW10,12,0.09230769230769231
IW03,IW00,8,0.09195402298850575
IW01,IW04,298,0.0919185687847008
IW00,IW02,19,0.09178743961352658
IW00,IW07,19,0.09178743961352658
IW09,IW02,9,0.09090909090909091
IW11,IW00,38,0.09047619047619047
IW04,IW02,18,0.08780487804878048
IW00,IW04,18,0.08695652173913043
IW10,IW04,19,0.08597285067873303
IW06,IW04,39,0.08533916849015317
IW04,IW05,17,0.08292682926829269
IW07,IW00,27,0.08256880733944955
IW10,IW10,18,0.08144796380090498
IW09,IW04,8,0.08080808080808081
IW03,IW07,7,0.08045977011494253
IW02,IW00,24,0.08
IW00,IW00,16,0.07729468599033816
IW06,IW00,35,0.07658643326039387
IW07,IW02,24,0.07339449541284404
IW07,IW04,23,0.07033639143730887
IW07,IW10,23,0.07033639143730887
IW03,IW02,6,0.06896551724137931
IW04,IW00,14,0.06829268292682927
IW10,IW05,13,0.058823529411764705
IW07,IW05,19,0.0581039755351682
IW00,IW05,12,0.057971014492753624
IW01,IW05,187,0.05768044417026527
IW00,IW09,11,0.05314009661835749
IW08,IW05,19,0.051630434782608696
IW06,IW09,23,0.05032822757111598
IW11,IW09,20,0.047619047619047616
IW05,IW03,6,0.046153846153846156
IW10,IW09,10,0.04524886877828054
IW11,IW05,19,0.04523809523809524
IW06,IW05,19,0.04157549234135667
IW08,IW09,15,0.04076086956521739
IW02,IW05,12,0.04
IW07,IW09,13,0.039755351681957186
IW04,IW09,8,0.03902439024390244
IW03,IW03,3,0.034482758620689655
IW01,IW09,110,0.03392967304133251
IW08,IW03,12,0.03260869565217391
IW05,IW05,4,0.03076923076923077
IW05,IW09,4,0.03076923076923077
IW09,IW03,3,0.030303030303030304
IW02,IW09,7,0.023333333333333334
IW11,IW03,9,0.02142857142857143
IW01,IW03,66,0.020357803824799507
IW09,IW00,2,0.020202020202020204
IW04,IW03,4,0.01951219512195122
IW07,IW03,6,0.01834862385321101
IW02,IW03,5,0.016666666666666666
IW06,IW03,6,0.01312910284463895
IW03,IW09,1,0.011494252873563218
IW09,IW09,1,0.010101010101010102
IW10,IW03,2,0.00904977375565611
IW00,IW03,1,0.004830917874396135
