actor_word,response_word,count,non_dominant_total_for_actor,p_response_given_actor_word_excluding_dominant
IW03,IW06,2,7,0.2857142857142857
IW09,IW06,4,15,0.26666666666666666
IW09,IW11,4,15,0.26666666666666666
IW05,IW02,4,16,0.25
IW00,IW08,7,30,0.23333333333333334
IW00,IW11,7,30,0.23333333333333334
IW07,IW11,10,43,0.23255813953488372
IW04,IW11,6,28,0.21428571428571427
IW02,IW06,9,43,0.20930232558139536
IW07,IW06,9,43,0.20930232558139536
IW06,IW08,12,59,0.2033898305084746
IW10,IW11,5,25,0.2
IW05,IW07,3,16,0.1875
IW08,IW07,10,54,0.18518518518518517
IW11,IW11,13,71,0.18309859154929578
IW11,IW06,12,71,0.16901408450704225
IW08,IW08,9,54,0.16666666666666666
IW01,IW06,81,506,0.1600790513833992
IW10,IW00,4,25,0.16
IW08,IW06,8,54,0.14814814814814814
IW04,IW07,4,28,0.14285714285714285
IW04,IW08,4,28,0.14285714285714285
IW04,IW10,4,28,0.14285714285714285
IW03,IW00,1,7,0.14285714285714285
IW03,IW02,1,7,0.14285714285714285
IW03,IW05,1,7,0.14285714285714285
IW03,IW10,1,7,0.14285714285714285
IW03,IW11,1,7,0.14285714285714285
IW01,IW11,71,506,0.14031620553359683
IW02,IW04,6,43,0.13953488372093023
IW02,IW11,6,43,0.13953488372093023
IW06,IW02,8,59,0.13559322033898305
IW06,IW06,8,59,0.13559322033898305
IW09,IW02,2,15,0.13333333333333333
IW01,IW08,66,506,0.13043478260869565
IW08,IW00,7,54,0.12962962962962962
IW08,IW10,7,54,0.12962962962962962
IW11,IW02,9,71,0.1267605633802817
IW11,IW08,9,71,0.1267605633802817
IW05,IW00,2,16,0.125
IW05,IW10,2,16,0.125
IW05,IW11,2,16,0.125
IW10,IW06,3,25,0.12
IW10,IW07,3,25,0.12
IW10,IW09,3,25,0.12
IW10,IW10,3,25,0.12
IW06,IW07,7,59,0.11864406779661017
IW06,IW11,7,59,0.11864406779661017
IW02,IW02,5,43,0.11627906976744186
IW02,IW08,5,43,0.11627906976744186
IW07,IW08,5,43,0.11627906976744186
IW07,IW10,5,43,0.11627906976744186
IW01,IW07,55,506,0.10869565217391304
IW04,IW06,3,28,0.10714285714285714
IW06,IW10,6,59,0.1016949152542373
IW00,IW02,3,30,0.1
IW00,IW06,3,30,0.1
IW00,IW07,3,30,0.1
IW01,IW02,48,506,0.09486166007905138
IW02,IW10,4,43,0.09302325581395349
IW07,IW05,4,43,0.09302325581395349
IW01,IW00,47,506,0.09288537549407115
IW08,IW04,5,54,0.09259259259259259
IW01,IW10,46,506,0.09090909090909091
IW06,IW04,5,59,0.0847457627118644
IW11,IW07,6,71,0.08450704225352113
IW11,IW10,6,71,0.08450704225352113
IW10,IW05,2,25,0.08
IW10,IW08,2,25,0.08
IW01,IW04,40,506,0.07905138339920949
IW08,IW05,4,54,0.07407407407407407
IW04,IW02,2,28,0.07142857142857142
IW04,IW04,2,28,0.07142857142857142
IW11,IW04,5,71,0.07042253521126761
IW11,IW05,5,71,0.07042253521126761
IW11,IW09,5,71,0.07042253521126761
IW02,IW00,3,43,0.06976744186046512
IW02,IW07,3,43,0.06976744186046512
IW07,IW02,3,43,0.06976744186046512
IW06,IW05,4,59,0.06779661016949153
IW00,IW00,2,30,0.06666666666666667
IW00,IW04,2,30,0.06666666666666667
IW09,IW04,1,15,0.06666666666666667
IW09,IW05,1,15,0.06666666666666667
IW09,IW07,1,15,0.06666666666666667
IW09,IW08,1,15,0.06666666666666667
IW09,IW09,1,15,0.06666666666666667
IW05,IW04,1,16,0.0625
IW05,IW06,1,16,0.0625
IW05,IW08,1,16,0.0625
IW08,IW11,3,54,0.05555555555555555
IW02,IW09,2,43,0.046511627906976744
IW07,IW00,2,43,0.046511627906976744
IW07,IW04,2,43,0.046511627906976744
IW07,IW07,2,43,0.046511627906976744
IW01,IW05,21,506,0.041501976284584984
IW04,IW03,1,28,0.03571428571428571
IW04,IW05,1,28,0.03571428571428571
IW04,IW09,1,28,0.03571428571428571
IW01,IW09,18,506,0.03557312252964427
IW00,IW03,1,30,0.03333333333333333
IW00,IW05,1,30,0.03333333333333333
IW00,IW09,1,30,0.03333333333333333
IW01,IW03,13,506,0.025691699604743084
IW07,IW09,1,43,0.023255813953488372
IW08,IW03,1,54,0.018518518518518517
IW06,IW00,1,59,0.01694915254237288
IW06,IW09,1,59,0.01694915254237288
IW11,IW00,1,71,0.014084507042253521
