window_size_s,condition_label,n,ngram,count
2.0,baseline,2,BT00->BT00,512
2.0,baseline,2,BT01->BT01,310
2.0,baseline,2,BT01->BT00,120
2.0,baseline,2,BT00->BT01,119
2.0,baseline,3,BT00->BT00->BT00,437
2.0,baseline,3,BT01->BT01->BT01,235
2.0,baseline,3,BT01->BT00->BT00,74
2.0,baseline,3,BT00->BT00->BT01,74
2.0,baseline,3,BT01->BT01->BT00,70
2.0,baseline,3,BT00->BT01->BT01,69
2.0,baseline,3,BT00->BT01->BT00,48
2.0,baseline,3,BT01->BT00->BT01,43
2.0,competitive,2,BT01->BT01,1556
2.0,competitive,2,BT00->BT00,475
2.0,competitive,2,BT01->BT00,266
2.0,competitive,2,BT00->BT01,266
2.0,competitive,3,BT01->BT01->BT01,1340
2.0,competitive,3,BT00->BT00->BT00,330
2.0,competitive,3,BT01->BT01->BT00,196
2.0,competitive,3,BT00->BT01->BT01,196
2.0,competitive,3,BT00->BT00->BT01,139
2.0,competitive,3,BT01->BT00->BT00,138
2.0,competitive,3,BT01->BT00->BT01,124
2.0,competitive,3,BT00->BT01->BT00,67
